orderKey,orderName,orderId,orderGid,customerEmail,financialStatus,paymentStatus,totalPrice,invoiceValue,itemAndQuantity,fullName,phone1,phone2,address1,address2,city,state,pinCode,fulfillmentCenter,fulfillmentStatus,shipmentStatus,courierPartner,consignmentNumber,courierType,weightKg,shippingDate,expectedDeliveryDate,updatedAt
bulk_test_0001,#BULK-0001,,,bulk1@example.com,paid,paid,499.00,499.00,Sample Product x1,Customer 1,9000000001,,Address Line 1 - 1,Near Landmark 1,City1,State1,421001,,unfulfilled,Assigned,DTDC,AWB000000001,Z- Express,0.1,2026-01-25T10:00:00.000Z,2026-01-28T10:00:00.000Z,
bulk_test_0002,#BULK-0002,,,bulk2@example.com,paid,paid,509.00,509.00,Sample Product x1,Customer 2,9000000002,,Address Line 1 - 2,Near Landmark 2,City2,State2,421002,,unfulfilled,Assigned,DTDC,AWB000000002,Z- Express,0.1,2026-01-25T10:00:01.000Z,2026-01-28T10:00:01.000Z,
bulk_test_0003,#BULK-0003,,,bulk3@example.com,paid,paid,519.00,519.00,Sample Product x1,Customer 3,9000000003,,Address Line 1 - 3,Near Landmark 3,City3,State3,421003,,unfulfilled,Assigned,DTDC,AWB000000003,Z- Express,0.1,2026-01-25T10:00:02.000Z,2026-01-28T10:00:02.000Z,
bulk_test_0004,#BULK-0004,,,bulk4@example.com,paid,paid,529.00,529.00,Sample Product x1,Customer 4,9000000004,,Address Line 1 - 4,Near Landmark 4,City4,State4,421004,,unfulfilled,Assigned,DTDC,AWB000000004,Z- Express,0.1,2026-01-25T10:00:03.000Z,2026-01-28T10:00:03.000Z,
bulk_test_0005,#BULK-0005,,,bulk5@example.com,paid,paid,539.00,0.1,Z- Express,Customer 5,9000000005,,Address Line 1 - 5,Near Landmark 5,City5,State5,421005,,unfulfilled,Assigned,,,AWB000000005,DTDC,2026-01-25T10:00:04.000Z,,
bulk_test_0006,#BULK-0006,,,bulk6@example.com,paid,paid,549.00,0.1,Z- Express,Customer 6,9000000006,,Address Line 1 - 6,Near Landmark 6,City6,State6,421006,,unfulfilled,Assigned,,,AWB000000006,DTDC,2026-01-25T10:00:05.000Z,,
bulk_test_0007,#BULK-0007,,,bulk7@example.com,paid,paid,559.00,0.1,Z- Express,Customer 7,9000000007,,Address Line 1 - 7,Near Landmark 7,City7,State7,421007,,unfulfilled,Assigned,,,AWB000000007,DTDC,2026-01-25T10:00:06.000Z,,
bulk_test_0008,#BULK-0008,,,bulk8@example.com,paid,paid,569.00,0.1,Z- Express,Customer 8,9000000008,,Address Line 1 - 8,Near Landmark 8,City8,State8,421008,,unfulfilled,Assigned,,,AWB000000008,DTDC,2026-01-25T10:00:07.000Z,,
bulk_test_0009,#BULK-0009,,,bulk9@example.com,paid,paid,579.00,0.1,Z- Express,Customer 9,9000000009,,Address Line 1 - 9,Near Landmark 9,City9,State9,421009,,unfulfilled,Assigned,,,AWB000000009,DTDC,2026-01-25T10:00:08.000Z,,
bulk_test_0010,#BULK-0010,,,bulk10@example.com,paid,paid,589.00,0.1,Z- Express,Customer 10,9000000010,,Address Line 1 - 10,Near Landmark 10,City10,State10,421010,,unfulfilled,Assigned,,,AWB000000010,DTDC,2026-01-25T10:00:09.000Z,,
bulk_test_0011,#BULK-0011,,,bulk11@example.com,paid,paid,599.00,0.1,Z- Express,Customer 11,9000000011,,Address Line 1 - 11,Near Landmark 11,City11,State11,421011,,unfulfilled,Assigned,,,AWB000000011,DTDC,2026-01-25T10:00:10.000Z,,
bulk_test_0012,#BULK-0012,,,bulk12@example.com,paid,paid,609.00,0.1,Z- Express,Customer 12,9000000012,,Address Line 1 - 12,Near Landmark 12,City12,State12,421012,,unfulfilled,Assigned,,,AWB000000012,DTDC,2026-01-25T10:00:11.000Z,,
bulk_test_0013,#BULK-0013,,,bulk13@example.com,paid,paid,619.00,0.1,Z- Express,Customer 13,9000000013,,Address Line 1 - 13,Near Landmark 13,City13,State13,421013,,unfulfilled,Assigned,,,AWB000000013,DTDC,2026-01-25T10:00:12.000Z,,
bulk_test_0014,#BULK-0014,,,bulk14@example.com,paid,paid,629.00,0.1,Z- Express,Customer 14,9000000014,,Address Line 1 - 14,Near Landmark 14,City14,State14,421014,,unfulfilled,Assigned,,,AWB000000014,DTDC,2026-01-25T10:00:13.000Z,,
bulk_test_0015,#BULK-0015,,,bulk15@example.com,paid,paid,639.00,0.1,Z- Express,Customer 15,9000000015,,Address Line 1 - 15,Near Landmark 15,City15,State15,421015,,unfulfilled,Assigned,,,AWB000000015,DTDC,2026-01-25T10:00:14.000Z,,
bulk_test_0016,#BULK-0016,,,bulk16@example.com,paid,paid,649.00,0.1,Z- Express,Customer 16,9000000016,,Address Line 1 - 16,Near Landmark 16,City16,State16,421016,,unfulfilled,Assigned,,,AWB000000016,DTDC,2026-01-25T10:00:15.000Z,,
bulk_test_0017,#BULK-0017,,,bulk17@example.com,paid,paid,659.00,0.1,Z- Express,Customer 17,9000000017,,Address Line 1 - 17,Near Landmark 17,City17,State17,421017,,unfulfilled,Assigned,,,AWB000000017,DTDC,2026-01-25T10:00:16.000Z,,
bulk_test_0018,#BULK-0018,,,bulk18@example.com,paid,paid,669.00,0.1,Z- Express,Customer 18,9000000018,,Address Line 1 - 18,Near Landmark 18,City18,State18,421018,,unfulfilled,Assigned,,,AWB000000018,DTDC,2026-01-25T10:00:17.000Z,,
bulk_test_0019,#BULK-0019,,,bulk19@example.com,paid,paid,679.00,0.1,Z- Express,Customer 19,9000000019,,Address Line 1 - 19,Near Landmark 19,City19,State19,421019,,unfulfilled,Assigned,,,AWB000000019,DTDC,2026-01-25T10:00:18.000Z,,
bulk_test_0020,#BULK-0020,,,bulk20@example.com,paid,paid,689.00,0.1,Z- Express,Customer 20,9000000020,,Address Line 1 - 20,Near Landmark 20,City20,State20,421020,,unfulfilled,Assigned,,,AWB000000020,DTDC,2026-01-25T10:00:19.000Z,,
bulk_test_0021,#BULK-0021,,,bulk21@example.com,paid,paid,699.00,0.1,Z- Express,Customer 21,9000000021,,Address Line 1 - 21,Near Landmark 21,City21,State21,421021,,unfulfilled,Assigned,,,AWB000000021,DTDC,2026-01-25T10:00:20.000Z,,
bulk_test_0022,#BULK-0022,,,bulk22@example.com,paid,paid,709.00,0.1,Z- Express,Customer 22,9000000022,,Address Line 1 - 22,Near Landmark 22,City22,State22,421022,,unfulfilled,Assigned,,,AWB000000022,DTDC,2026-01-25T10:00:21.000Z,,
bulk_test_0023,#BULK-0023,,,bulk23@example.com,paid,paid,719.00,0.1,Z- Express,Customer 23,9000000023,,Address Line 1 - 23,Near Landmark 23,City23,State23,421023,,unfulfilled,Assigned,,,AWB000000023,DTDC,2026-01-25T10:00:22.000Z,,
bulk_test_0024,#BULK-0024,,,bulk24@example.com,paid,paid,729.00,0.1,Z- Express,Customer 24,9000000024,,Address Line 1 - 24,Near Landmark 24,City24,State24,421024,,unfulfilled,Assigned,,,AWB000000024,DTDC,2026-01-25T10:00:23.000Z,,
bulk_test_0025,#BULK-0025,,,bulk25@example.com,paid,paid,739.00,0.1,Z- Express,Customer 25,9000000025,,Address Line 1 - 25,Near Landmark 25,City25,State25,421025,,unfulfilled,Assigned,,,AWB000000025,DTDC,2026-01-25T10:00:24.000Z,,
bulk_test_0026,#BULK-0026,,,bulk26@example.com,paid,paid,749.00,0.1,Z- Express,Customer 26,9000000026,,Address Line 1 - 26,Near Landmark 26,City26,State26,421026,,unfulfilled,Assigned,,,AWB000000026,DTDC,2026-01-25T10:00:25.000Z,,
bulk_test_0027,#BULK-0027,,,bulk27@example.com,paid,paid,759.00,0.1,Z- Express,Customer 27,9000000027,,Address Line 1 - 27,Near Landmark 27,City27,State27,421027,,unfulfilled,Assigned,,,AWB000000027,DTDC,2026-01-25T10:00:26.000Z,,
bulk_test_0028,#BULK-0028,,,bulk28@example.com,paid,paid,769.00,0.1,Z- Express,Customer 28,9000000028,,Address Line 1 - 28,Near Landmark 28,City28,State28,421028,,unfulfilled,Assigned,,,AWB000000028,DTDC,2026-01-25T10:00:27.000Z,,
bulk_test_0029,#BULK-0029,,,bulk29@example.com,paid,paid,779.00,0.1,Z- Express,Customer 29,9000000029,,Address Line 1 - 29,Near Landmark 29,City29,State29,421029,,unfulfilled,Assigned,,,AWB000000029,DTDC,2026-01-25T10:00:28.000Z,,
bulk_test_0030,#BULK-0030,,,bulk30@example.com,paid,paid,789.00,0.1,Z- Express,Customer 30,9000000030,,Address Line 1 - 30,Near Landmark 30,City30,State30,421030,,unfulfilled,Assigned,,,AWB000000030,DTDC,2026-01-25T10:00:29.000Z,,
bulk_test_0031,#BULK-0031,,,bulk31@example.com,paid,paid,799.00,0.1,Z- Express,Customer 31,9000000031,,Address Line 1 - 31,Near Landmark 31,City31,State31,421031,,unfulfilled,Assigned,,,AWB000000031,DTDC,2026-01-25T10:00:30.000Z,,
bulk_test_0032,#BULK-0032,,,bulk32@example.com,paid,paid,809.00,0.1,Z- Express,Customer 32,9000000032,,Address Line 1 - 32,Near Landmark 32,City32,State32,421032,,unfulfilled,Assigned,,,AWB000000032,DTDC,2026-01-25T10:00:31.000Z,,
bulk_test_0033,#BULK-0033,,,bulk33@example.com,paid,paid,819.00,0.1,Z- Express,Customer 33,9000000033,,Address Line 1 - 33,Near Landmark 33,City33,State33,421033,,unfulfilled,Assigned,,,AWB000000033,DTDC,2026-01-25T10:00:32.000Z,,
bulk_test_0034,#BULK-0034,,,bulk34@example.com,paid,paid,829.00,0.1,Z- Express,Customer 34,9000000034,,Address Line 1 - 34,Near Landmark 34,City34,State34,421034,,unfulfilled,Assigned,,,AWB000000034,DTDC,2026-01-25T10:00:33.000Z,,
bulk_test_0035,#BULK-0035,,,bulk35@example.com,paid,paid,839.00,0.1,Z- Express,Customer 35,9000000035,,Address Line 1 - 35,Near Landmark 35,City35,State35,421035,,unfulfilled,Assigned,,,AWB000000035,DTDC,2026-01-25T10:00:34.000Z,,
bulk_test_0036,#BULK-0036,,,bulk36@example.com,paid,paid,849.00,0.1,Z- Express,Customer 36,9000000036,,Address Line 1 - 36,Near Landmark 36,City36,State36,421036,,unfulfilled,Assigned,,,AWB000000036,DTDC,2026-01-25T10:00:35.000Z,,
bulk_test_0037,#BULK-0037,,,bulk37@example.com,paid,paid,859.00,0.1,Z- Express,Customer 37,9000000037,,Address Line 1 - 37,Near Landmark 37,City37,State37,421037,,unfulfilled,Assigned,,,AWB000000037,DTDC,2026-01-25T10:00:36.000Z,,
bulk_test_0038,#BULK-0038,,,bulk38@example.com,paid,paid,869.00,0.1,Z- Express,Customer 38,9000000038,,Address Line 1 - 38,Near Landmark 38,City38,State38,421038,,unfulfilled,Assigned,,,AWB000000038,DTDC,2026-01-25T10:00:37.000Z,,
bulk_test_0039,#BULK-0039,,,bulk39@example.com,paid,paid,879.00,0.1,Z- Express,Customer 39,9000000039,,Address Line 1 - 39,Near Landmark 39,City39,State39,421039,,unfulfilled,Assigned,,,AWB000000039,DTDC,2026-01-25T10:00:38.000Z,,
bulk_test_0040,#BULK-0040,,,bulk40@example.com,paid,paid,889.00,0.1,Z- Express,Customer 40,9000000040,,Address Line 1 - 40,Near Landmark 40,City40,State40,421040,,unfulfilled,Assigned,,,AWB000000040,DTDC,2026-01-25T10:00:39.000Z,,
bulk_test_0041,#BULK-0041,,,bulk41@example.com,paid,paid,899.00,0.1,Z- Express,Customer 41,9000000041,,Address Line 1 - 41,Near Landmark 41,City41,State41,421041,,unfulfilled,Assigned,,,AWB000000041,DTDC,2026-01-25T10:00:40.000Z,,
bulk_test_0042,#BULK-0042,,,bulk42@example.com,paid,paid,909.00,0.1,Z- Express,Customer 42,9000000042,,Address Line 1 - 42,Near Landmark 42,City42,State42,421042,,unfulfilled,Assigned,,,AWB000000042,DTDC,2026-01-25T10:00:41.000Z,,
bulk_test_0043,#BULK-0043,,,bulk43@example.com,paid,paid,919.00,0.1,Z- Express,Customer 43,9000000043,,Address Line 1 - 43,Near Landmark 43,City43,State43,421043,,unfulfilled,Assigned,,,AWB000000043,DTDC,2026-01-25T10:00:42.000Z,,
bulk_test_0044,#BULK-0044,,,bulk44@example.com,paid,paid,929.00,0.1,Z- Express,Customer 44,9000000044,,Address Line 1 - 44,Near Landmark 44,City44,State44,421044,,unfulfilled,Assigned,,,AWB000000044,DTDC,2026-01-25T10:00:43.000Z,,
bulk_test_0045,#BULK-0045,,,bulk45@example.com,paid,paid,939.00,0.1,Z- Express,Customer 45,9000000045,,Address Line 1 - 45,Near Landmark 45,City45,State45,421045,,unfulfilled,Assigned,,,AWB000000045,DTDC,2026-01-25T10:00:44.000Z,,
bulk_test_0046,#BULK-0046,,,bulk46@example.com,paid,paid,949.00,0.1,Z- Express,Customer 46,9000000046,,Address Line 1 - 46,Near Landmark 46,City46,State46,421046,,unfulfilled,Assigned,,,AWB000000046,DTDC,2026-01-25T10:00:45.000Z,,
bulk_test_0047,#BULK-0047,,,bulk47@example.com,paid,paid,959.00,0.1,Z- Express,Customer 47,9000000047,,Address Line 1 - 47,Near Landmark 47,City47,State47,421047,,unfulfilled,Assigned,,,AWB000000047,DTDC,2026-01-25T10:00:46.000Z,,
bulk_test_0048,#BULK-0048,,,bulk48@example.com,paid,paid,969.00,0.1,Z- Express,Customer 48,9000000048,,Address Line 1 - 48,Near Landmark 48,City48,State48,421048,,unfulfilled,Assigned,,,AWB000000048,DTDC,2026-01-25T10:00:47.000Z,,
bulk_test_0049,#BULK-0049,,,bulk49@example.com,paid,paid,979.00,0.1,Z- Express,Customer 49,9000000049,,Address Line 1 - 49,Near Landmark 49,City49,State49,421049,,unfulfilled,Assigned,,,AWB000000049,DTDC,2026-01-25T10:00:48.000Z,,
bulk_test_0050,#BULK-0050,,,bulk50@example.com,paid,paid,989.00,0.1,Z- Express,Customer 50,9000000050,,Address Line 1 - 50,Near Landmark 50,City50,State50,421050,,unfulfilled,Assigned,,,AWB000000050,DTDC,2026-01-25T10:00:49.000Z,,
